,Accuracy,Balanced_Acc,Precision,Recall,F1,Time
"Extra Trees [1200 est, depth=65, criterion=entropy]",0.6301369863013698,0.5404981759845983,0.6289572725260129,0.9552790854068596,0.7585102122547056,424.22300386428833
"Extra Trees [1000 est, depth=70]",0.6274790431404621,0.5397030743578761,0.6287438533750559,0.94586415601883,0.7553705692803437,310.001234292984
"Extra Trees [700 est, depth=60]",0.6264567573093437,0.5383989533354452,0.6280419736548337,0.94586415601883,0.754863813229572,312.5013325214386
"Extra Trees [500 est, depth=50]",0.6270701288080147,0.5404792324647028,0.6292715827338129,0.941156691324815,0.7542441390460792,189.9481678009033
Weighted: All Trees Average,0.6219586996524228,0.5313630143209502,0.6241996025612718,0.9505716207128446,0.7535652405704385,0.0
"Extra Trees [1500 est, depth=80]",0.6227765283173176,0.5354654264975642,0.6265978919040144,0.9394754539340956,0.751782591147585,59.55057072639465
"Random Forest [1000 est, depth=70]",0.6145982416683705,0.52707186855723,0.6222222222222222,0.9320780094149294,0.7462646385785435,139.5465488433838
"Extra Trees [800 est, depth=55, balanced]",0.6205274994888571,0.5416810058588097,0.6307908282639214,0.906523201075992,0.7439293598233996,145.172385931015
"CatBoost [500 iter, depth=8]",0.6119402985074627,0.5250716608801229,0.621225777377197,0.9270342972427706,0.7439287641662169,3529.8275697231293
"LightGBM [500 iter, depth=8]",0.6113269270087917,0.53847235947504,0.6297460701330109,0.8755884330867518,0.7325924883949922,179.45119285583496
Gradient Boosting [400 est],0.6058065835207525,0.5339330185200971,0.6273125608568647,0.8665097511768661,0.727760519627224,6643.021994352341
Stacking: ET+LGBM + LR,0.6078511551829892,0.5461821089680378,0.63573264781491,0.8315400134498991,0.7205710955710956,337.9994878768921
"XGBoost [500 iter, depth=8]",0.5808628092414639,0.5491116015377928,0.6436567164179104,0.6960322797579018,0.6688206785137318,790.7885608673096
Linear SVM,0.5377223471682683,0.5224440368079608,0.6266429840142096,0.5931405514458642,0.6094316807738815,73.85195708274841
Logistic Regression (Simple),0.5383357186669393,0.5238754126793188,0.6279485346676197,0.5907868190988568,0.6088011088011088,153.1266257762909
